ElementID,Global_X_mm,Global_Z_mm
1,-3.6405764746872635,-12.35496636468387
2,-3.155166278062295,-12.707637516059354
3,-2.6697560814373267,-13.060308667434837
4,-2.1843458848123576,-13.412979818810323
5,-1.6989356881873896,-13.765650970185806
6,-1.2135254915624212,-14.11832212156129
7,-0.7281152949374525,-14.470993272936774
8,-0.24270509831248419,-14.823664424312257
9,0.24270509831248419,-15.176335575687741
10,0.7281152949374525,-15.529006727063225
11,1.2135254915624207,-15.881677878438708
12,1.6989356881873892,-16.23434902981419
13,2.184345884812358,-16.587020181189676
14,2.6697560814373267,-16.939691332565157
15,3.155166278062295,-17.292362483940643
16,3.6405764746872635,-17.64503363531613
